"","number","time","position","race_id","athlete_id","world_athletics_id","birth","nationality","sex","active_seasons","temperature","humidity","conditions","competition","stadium_id","round","event","name","final_position","color","Reference Bit","Critical Speed (m/s)","Work Capacity (m)","R2","velocity","w_r","rel_w_r"
"40",10,14.2,6,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",0,6.10985396460853,159.947083272987,0.995473010817826,7.04225352112676,19.6035360934075,0.122562635668382
"41",11,13.8,6,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.2463768115942,3.91952080500529,0.0245051095950009
"42",12,13.7,6,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.2992700729927,-12.3754798798578,-0.0773723385673509
"43",13,13.7,6,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.2992700729927,-28.6704805647209,-0.179249786729703
"44",14,13.5,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.40740740740741,-46.1874520425058,-0.288767079069995
"45",15,14,5,1,5,14970747,"2003-03-15T00:00:00.000Z","USA","MALE"," 2024 2023 2022 2021","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Hobbs Kessler",5,"#6C6C6C",1,6.10985396460853,159.947083272987,0.995473010817826,7.14285714285714,-60.6494965379863,-0.379184760965436
"46",1,14,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.14285714285714,156.795735890301,0.904563968720019
"47",2,13.3,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.5187969924812,136.080136873726,0.78505444025966
"48",3,13.8,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.2463768115942,118.345154435477,0.682740266928142
"49",4,13.8,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.2463768115942,100.610171997227,0.580426093596625
"50",5,14.1,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",0,5.96123315664857,173.338471697221,0.993937690208661,7.09219858156028,84.6635595059717,0.488429133342412
"51",6,14,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.14285714285714,68.1208236990516,0.392993102062431
